0.001,0.00688492883301,0.00815511065674,0.00773651208496,nan,nan,0.00688492883301,1.0,0.00140897616419,607192029600.0,6836.41372697,0.991375635819,0.000473913043478,0.651376146789,71.0,0.000145013990582,19.5301000256,1.00000000131,1.0,5.73743866109e-06
0.003,0.00230685247803,0.00245757159424,0.00237613916016,nan,nan,0.00230685247803,1.0,0.00309620626702,606586723600.0,691.436039147,0.991375619119,0.0005,0.56,70.0,0.00143379222805,19.5300996966,0.999999984467,1.0,1.75158948498e-05
0.01,0.000687169311523,0.000733947998047,0.000800898742676,nan,nan,0.000687169311523,1.0,0.0102512507086,607885699400.0,64.809687177,0.991375668724,0.0005,0.591304347826,68.0,0.0152967204735,19.5301006739,1.0000000345,1.0,5.87701143421e-05
0.03,0.000234868286133,0.000226727416992,0.000244352111816,nan,nan,0.000226727416992,2.0,0.0299923327126,607798344400.0,3.79053049615,0.403622385635,0.000532,0.300751879699,40.0,0.106481767142,7.95136099702,1.00000012539,1.0,0.000162802847172
0.1,8.61011352539e-05,8.21283569336e-05,9.54446411133e-05,nan,nan,8.21283569336e-05,2.0,0.100974057933,606812195300.0,0.530131043337,0.403622195631,0.000552173913043,0.307086614173,39.0,0.76136306429,7.95135725392,0.999999654641,1.0,0.000443573588191
0.3,8.35569458008e-05,8.69517822266e-05,9.30780639648e-05,nan,nan,8.35569458008e-05,1.0,0.302912604211,607751167200.0,0.991375343632,0.991375341786,0.000472,0.64406779661,76.0,0.999999998137,19.5300942332,0.999999704722,1.0,0.00173112727839
1.0,8.18581848145e-05,6.95300292969e-05,7.82939453125e-05,nan,nan,6.95300292969e-05,2.0,1.00047986592,607867365600.0,0.403622569478,0.403622560456,0.000569565217391,0.312977099237,41.0,0.999999977648,7.95136444098,1.00000055852,1.0,0.00435921516393
3.0,7.90538330078e-05,7.90768432617e-05,7.76608276367e-05,nan,nan,7.76608276367e-05,3.0,3.07810358106,607787840600.0,0.208504592021,0.208504590467,0.000556,0.136690647482,19.0,0.999999992549,4.1075404322,1.00000010522,1.0,0.0136884633824
10.0,8.13372192383e-05,8.19697875977e-05,6.72587890625e-05,nan,nan,6.72587890625e-05,3.0,10.2321242509,606781977300.0,0.208504636507,0.208504634954,0.000552,0.18115942029,25.0,0.999999992549,4.10754130859,1.00000031858,1.0,0.0436227856387
30.0,7.71393432617e-05,7.83763427734e-05,7.83426513672e-05,nan,nan,7.71393432617e-05,1.0,29.9484056831,565067077800.0,0.9913757278,0.991375701948,0.00062,0.625806451613,97.0,0.999999973923,19.5301013284,1.00000006802,1.0,0.187174076969
100.0,8.63825073242e-05,8.38793334961e-05,7.14250488281e-05,nan,nan,7.14250488281e-05,3.0,100.10927771,6022828720.0,0.208504513163,0.208504514717,0.0499666666667,0.176117411608,264.0,1.00000000745,4.10753893992,0.999999741917,1.0,0.41317893505
300.0,9.74690246582e-05,7.86434936523e-05,6.87114868164e-05,nan,nan,6.87114868164e-05,3.0,300.115582102,685351740.1,0.208504586438,0.208504583998,0.40712,0.206671251719,4207.0,0.9999999883,4.10754030477,1.0000000742,1.0,1.37755933068
1000.0,0.00182941357422,0.000687705871582,0.000147852722168,nan,nan,0.000147852722168,3.0,1000.0386163,22030347.1,0.208504641537,0.208504639357,0.633866666667,0.892406394615,16970.0,0.999999989544,4.10754139533,1.0000003397,1.0,1.82909137281
1500.0,0.00769540289307,0.00334745013428,0.000366345031738,nan,nan,0.000366345031738,3.0,1499.98677389,3162335.793,0.208504560601,0.208504566384,0.66344,0.967140962257,32082.0,1.00000002774,4.10753995776,0.999999989717,1.0,1.83622931817
2000.0,0.0323177689314,0.0126576464772,0.000916723370552,nan,nan,0.000916723370552,3.0,1999.91781232,477943.15054,0.208504575637,0.208504575564,0.6878,0.986187845304,20349.0,0.999999999651,4.10754013861,1.00000003375,1.0,1.89479938629
2500.0,0.132426517606,0.0549997062087,0.01,nan,nan,0.0549997062087,2.0,2499.75096609,69278.450374,nan,nan,0.703166666667,0.994927707988,20988.0,nan,nan,nan,1.0,1.93583649916
3000.0,0.471085920632,0.193028271735,0.01,nan,nan,0.193028271735,2.0,2999.75850633,9090.8154087,nan,nan,0.71694,0.996931402907,35737.0,nan,nan,nan,1.0,1.97437280402
